Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Final_Exam_Score
17.0,73.4,High,Medium,No,7.2,93.0,High,Yes,1.0,64.0
28.2,90.9,Medium,Low,Yes,9.2,71.8,High,Yes,1.0,67.1
21.0,81.5,Medium,Medium,Yes,6.0,62.9,High,Yes,2.0,53.8
22.3,85.5,Medium,Low,No,8.4,85.2,High,Yes,3.0,68.4
21.3,93.8,Medium,Medium,Yes,7.6,97.7,High,Yes,0.0,72.4
25.5,85.1,Medium,High,Yes,8.9,94.3,High,Yes,3.0,79.6
30.4,73.4,Medium,Low,Yes,7.4,81.4,High,Yes,3.0,72.2
12.3,72.5,Medium,Medium,Yes,6.5,80.0,High,No,1.0,64.2
18.2,83.2,High,Medium,No,6.4,68.2,High,,1.0,56.9
13.5,99.6,Medium,Low,No,10.0,68.1,High,Yes,1.0,57.8
27.2,93.9,High,Low,No,6.3,89.4,High,Yes,2.0,77.7
6.0,75.5,Medium,Medium,Yes,6.7,78.1,High,Yes,1.0,57.9
23.5,67.4,Low,High,No,7.9,77.3,High,Yes,4.0,70.1
8.9,72.0,Medium,Medium,No,8.2,84.8,High,Yes,2.0,61.7
16.0,70.5,Low,Medium,No,6.9,55.0,High,Yes,3.0,55.7
18.3,83.5,Medium,Low,No,8.2,66.7,High,Yes,3.0,61.9
24.3,78.4,High,High,Yes,7.7,81.7,High,Yes,5.0,78.1
25.1,68.5,High,High,Yes,8.3,67.4,High,Yes,1.0,67.1
23.7,92.2,Medium,High,Yes,6.7,59.1,High,Yes,0.0,65.2
21.4,65.1,Low,High,Yes,7.7,99.0,High,Yes,1.0,77.2
30.7,63.2,Medium,Medium,Yes,7.8,51.3,High,Yes,2.0,59.6
21.6,80.9,Medium,Medium,No,9.1,87.7,High,No,1.0,65.6
20.3,65.6,High,High,Yes,7.4,89.5,High,Yes,1.0,62.5
28.8,64.9,Medium,Medium,Yes,7.8,96.9,High,Yes,4.0,82.0
29.0,94.1,High,Low,No,8.6,76.9,High,Yes,1.0,72.0
21.3,95.2,Low,Low,Yes,7.9,73.2,High,Yes,1.0,66.8
22.2,95.3,Medium,Low,No,5.2,64.3,High,Yes,1.0,62.0
23.4,87.3,Medium,Low,Yes,6.2,87.1,High,Yes,3.0,72.1
24.0,83.5,Medium,High,No,6.1,80.3,High,Yes,1.0,72.0
29.0,72.6,Medium,Medium,Yes,7.9,61.9,High,Yes,2.0,66.8
24.0,75.8,Low,Medium,Yes,8.3,98.2,High,Yes,1.0,82.1
27.7,61.6,Medium,Low,No,6.2,88.1,High,Yes,2.0,72.3
17.5,64.1,Medium,Medium,Yes,6.6,81.6,High,Yes,1.0,60.5
14.2,77.1,High,Medium,Yes,6.8,93.0,High,Yes,2.0,61.6
21.8,61.7,High,Low,No,7.9,82.2,High,Yes,1.0,63.0
19.8,83.3,Medium,High,No,7.1,52.0,High,Yes,1.0,49.1
14.1,71.5,Low,Medium,Yes,6.9,69.1,High,Yes,0.0,57.6
19.5,82.3,Medium,Medium,Yes,9.2,82.1,High,Yes,2.0,68.0
23.1,93.4,High,Medium,No,6.2,83.4,High,Yes,1.0,67.9
23.7,87.2,Medium,Medium,Yes,6.5,59.7,High,No,4.0,66.2
27.6,82.7,High,High,No,5.6,66.3,High,Yes,2.0,66.8
15.2,96.8,Medium,Low,Yes,4.9,84.2,High,Yes,1.0,68.3
18.3,80.7,Medium,Low,No,8.2,98.6,High,Yes,2.0,72.9
12.1,97.2,High,Medium,No,4.9,78.8,High,Yes,2.0,65.2
11.1,73.4,Medium,Medium,No,6.3,85.1,High,Yes,1.0,54.4
13.7,64.1,Medium,High,No,7.3,55.5,High,Yes,3.0,59.4
11.0,83.5,Low,Medium,Yes,5.3,83.6,High,Yes,0.0,60.3
18.1,71.0,High,Low,Yes,8.2,75.4,High,Yes,1.0,55.1
19.2,97.1,High,Medium,No,6.5,97.6,High,Yes,3.0,82.5
28.8,96.5,High,High,Yes,8.1,81.4,High,Yes,1.0,72.2
9.9,76.3,Low,Low,Yes,6.2,53.2,High,Yes,2.0,46.3
19.7,97.9,Low,High,Yes,6.5,73.8,High,Yes,5.0,78.3
21.1,85.1,Medium,High,No,6.8,73.3,High,Yes,0.0,63.2
20.0,68.9,Medium,Medium,Yes,5.3,56.0,High,Yes,0.0,49.1
24.5,85.0,Medium,High,Yes,6.6,68.1,High,Yes,1.0,61.9
15.7,80.3,High,Medium,No,6.4,71.0,High,Yes,0.0,55.5
29.2,71.9,High,Medium,Yes,10.0,67.9,High,Yes,0.0,68.2
18.3,72.6,High,High,Yes,8.9,79.7,High,Yes,2.0,66.5
16.0,61.9,High,High,Yes,8.5,53.9,High,Yes,1.0,50.1
29.9,99.6,High,Medium,Yes,8.1,72.3,High,Yes,1.0,72.4
32.8,71.7,Medium,Medium,No,6.3,82.3,High,No,1.0,72.1
15.4,85.0,Medium,Medium,Yes,5.0,72.1,High,Yes,2.0,64.0
15.8,97.8,Medium,High,Yes,4.4,54.0,High,Yes,4.0,58.9
13.4,73.8,Medium,Medium,Yes,8.1,99.9,High,No,1.0,59.8
12.9,74.3,Medium,Medium,Yes,6.6,91.5,High,Yes,3.0,66.2
18.9,60.9,Medium,Low,No,6.0,69.5,High,Yes,0.0,52.3
17.7,92.0,High,Low,Yes,6.7,93.5,High,No,2.0,73.3
18.5,66.8,Medium,High,No,6.0,96.7,High,Yes,2.0,65.8
19.2,74.6,Medium,Low,No,7.4,90.9,High,Yes,1.0,61.5
16.7,76.6,Medium,High,No,6.6,92.2,High,Yes,1.0,74.5
17.4,91.6,Medium,Medium,Yes,6.5,84.3,High,Yes,1.0,69.7
13.0,68.6,Medium,Low,No,7.5,55.6,High,Yes,1.0,38.5
14.6,90.3,High,Medium,No,7.9,52.7,High,Yes,2.0,56.5
24.5,80.1,High,Medium,Yes,6.2,71.7,High,No,3.0,67.5
23.1,91.6,Medium,Medium,No,7.5,74.9,High,No,2.0,66.5
20.6,90.2,Low,Medium,No,7.0,81.4,High,Yes,3.0,74.5
9.8,78.0,Medium,Medium,No,7.8,61.1,High,Yes,3.0,47.8
17.6,65.0,High,Medium,No,7.2,59.9,High,Yes,0.0,52.4
25.6,71.7,Medium,,Yes,7.2,68.0,High,Yes,1.0,67.9
22.5,78.0,Medium,Medium,Yes,6.3,72.6,High,Yes,2.0,60.4
5.6,95.5,Medium,Medium,No,6.7,55.3,High,Yes,0.0,50.8
17.4,85.7,Medium,High,Yes,6.2,52.9,High,Yes,3.0,60.9
9.7,84.1,Medium,Low,Yes,6.0,71.1,High,Yes,1.0,54.8
21.8,73.4,Medium,Medium,Yes,10.0,96.8,High,Yes,3.0,73.0
16.0,75.2,Medium,High,Yes,7.5,55.1,High,Yes,1.0,48.9
14.0,84.5,Medium,Low,No,6.7,51.4,High,Yes,1.0,49.1
21.1,82.1,Low,High,No,9.2,93.9,High,Yes,0.0,80.1
15.1,82.1,Medium,Low,Yes,6.9,72.9,High,Yes,0.0,55.3
21.2,70.9,Medium,Medium,No,5.6,67.2,High,Yes,1.0,61.1
32.5,95.3,Medium,Medium,Yes,6.7,86.5,High,Yes,4.0,84.1
20.3,64.1,High,Low,,10.0,70.9,High,Yes,2.0,63.8
21.1,92.8,Low,Low,Yes,5.6,63.7,High,Yes,1.0,61.1
12.8,97.6,High,Medium,Yes,9.1,60.7,High,Yes,0.0,50.3
8.6,70.9,Medium,High,No,7.0,70.2,High,Yes,0.0,58.4
13.2,93.8,Low,Medium,Yes,9.5,61.0,High,Yes,2.0,63.2
23.4,62.0,Medium,High,No,4.0,95.8,High,Yes,0.0,66.6
20.8,80.0,Medium,Medium,Yes,9.3,89.5,High,Yes,2.0,77.3
14.4,98.3,Medium,High,Yes,6.6,60.3,High,Yes,0.0,54.1
26.2,68.5,High,Medium,No,6.9,85.9,High,Yes,1.0,65.6
25.6,61.4,Medium,Medium,No,6.3,95.6,High,Yes,1.0,70.1
28.9,98.0,High,Medium,No,7.1,81.6,High,Yes,0.0,73.5
18.1,85.7,Medium,High,No,6.5,87.6,High,,2.0,70.0
25.4,68.9,High,High,No,7.5,62.9,High,Yes,3.0,69.8
17.0,74.9,Medium,High,Yes,9.7,63.7,High,Yes,0.0,57.3
23.8,66.7,Low,Medium,No,8.0,82.5,High,Yes,1.0,63.0
22.5,98.4,Low,Low,No,5.6,81.2,High,Yes,1.0,61.4
22.3,89.3,High,Medium,No,9.4,51.7,High,Yes,2.0,52.6
13.8,73.6,High,Medium,No,4.6,87.0,High,Yes,0.0,62.9
25.7,96.6,Medium,Medium,Yes,5.8,63.5,High,Yes,1.0,58.9
20.2,74.6,High,High,Yes,7.5,91.1,High,Yes,1.0,68.1
23.5,61.4,Low,Medium,Yes,5.8,88.3,High,Yes,3.0,70.0
19.0,62.5,Low,Medium,Yes,7.4,73.9,High,Yes,3.0,58.5
17.7,65.6,High,High,Yes,7.8,84.9,High,Yes,1.0,68.4
23.7,75.6,Medium,Medium,Yes,7.5,54.2,High,Yes,2.0,56.7
26.2,62.2,High,Medium,Yes,7.7,89.8,High,No,1.0,73.2
13.9,93.0,Medium,Low,Yes,7.1,72.8,High,Yes,0.0,59.7
34.6,87.0,Low,Medium,No,7.4,92.5,High,Yes,3.0,78.2
15.1,90.7,Medium,Medium,Yes,6.1,65.6,High,Yes,2.0,64.9
27.3,99.4,Medium,Low,No,6.1,78.6,High,Yes,2.0,75.4
19.6,74.8,High,Medium,Yes,8.5,51.8,High,Yes,2.0,55.0
26.7,94.2,Medium,Low,Yes,7.6,86.0,High,Yes,1.0,71.3
18.1,66.1,Medium,High,Yes,6.3,73.8,High,Yes,0.0,55.4
14.6,67.5,Medium,High,Yes,5.8,83.3,High,Yes,0.0,60.7
11.0,95.2,Medium,High,No,8.8,89.5,High,Yes,2.0,64.8
20.4,98.3,Medium,High,Yes,5.5,75.5,High,Yes,2.0,68.9
21.2,71.1,Medium,Medium,No,5.1,61.0,High,Yes,1.0,57.0
23.3,69.3,Low,Medium,Yes,8.6,86.4,High,Yes,2.0,69.4
14.7,90.2,Medium,Low,Yes,7.7,71.6,High,Yes,1.0,59.4
14.9,63.8,Medium,Medium,Yes,5.1,71.4,High,Yes,1.0,55.5
17.4,96.4,High,Low,Yes,7.3,66.1,High,Yes,1.0,62.6
16.0,70.3,Medium,High,No,7.2,97.3,High,Yes,0.0,69.9
19.6,80.3,High,High,Yes,6.5,85.3,High,Yes,3.0,72.0
30.0,80.2,High,High,Yes,7.6,84.0,High,No,1.0,76.9
19.5,75.5,Medium,Medium,Yes,8.7,96.1,High,Yes,2.0,69.8
12.2,96.2,High,Medium,No,7.3,56.0,High,Yes,3.0,53.0
17.3,95.8,Medium,High,Yes,4.0,83.6,High,Yes,0.0,66.4
26.2,64.4,Medium,Medium,Yes,7.7,91.0,High,Yes,0.0,72.3
17.7,98.2,High,Medium,Yes,5.4,54.4,High,Yes,4.0,62.6
22.3,97.0,High,Medium,No,6.9,95.2,High,Yes,2.0,78.3
23.1,73.8,High,High,No,8.4,69.3,High,Yes,0.0,60.4
15.3,76.4,High,High,No,4.6,95.0,High,Yes,1.0,66.7
14.7,86.4,High,Medium,Yes,5.4,68.6,High,Yes,2.0,62.7
19.3,83.6,Medium,Medium,No,7.7,80.9,High,Yes,1.0,71.4
16.4,73.5,High,Low,Yes,7.6,55.8,High,Yes,4.0,53.7
19.0,96.7,High,High,No,6.0,51.0,High,Yes,4.0,65.4
7.3,77.1,Low,High,No,6.8,69.5,High,Yes,1.0,59.1
20.7,82.8,Medium,High,Yes,6.6,72.6,High,Yes,,68.6
10.0,63.1,Low,High,No,5.1,62.0,High,Yes,3.0,57.2
30.3,73.5,High,Medium,No,4.1,92.8,High,No,1.0,72.4
12.4,74.1,Low,Medium,Yes,6.6,86.1,High,Yes,4.0,63.3
18.8,69.0,High,High,No,6.3,81.1,High,Yes,0.0,60.0
21.2,64.8,Low,High,Yes,6.2,59.8,High,Yes,0.0,52.4
26.5,80.1,Medium,High,Yes,9.3,56.7,High,Yes,2.0,55.9
14.6,82.7,Medium,High,Yes,8.0,56.3,High,Yes,1.0,53.9
21.4,90.3,Medium,Low,Yes,5.7,81.4,High,Yes,1.0,66.1
21.4,93.2,Medium,Low,Yes,7.8,63.5,High,Yes,0.0,58.7
12.3,89.4,Medium,Low,No,8.5,92.4,High,No,2.0,64.6
22.3,78.6,Medium,High,Yes,7.9,59.5,High,Yes,0.0,51.4
20.6,97.2,Low,Low,No,6.7,52.9,High,Yes,3.0,50.1
27.8,92.2,Low,Medium,No,8.0,72.3,High,Yes,2.0,73.2
24.6,70.7,Low,Medium,No,8.1,79.8,High,Yes,0.0,62.8
21.4,72.3,Medium,High,No,7.0,64.5,High,Yes,0.0,62.6
20.8,97.3,Medium,Medium,No,6.6,74.1,High,Yes,4.0,69.5
29.8,65.5,Medium,Medium,Yes,6.6,68.3,High,Yes,0.0,62.7
14.6,69.7,Medium,Medium,No,7.0,73.2,High,No,0.0,52.5
22.2,89.0,Medium,Low,Yes,,79.1,High,Yes,1.0,55.9
26.9,67.9,Low,Medium,No,6.8,78.8,High,Yes,1.0,64.1
15.0,69.0,,Medium,Yes,8.2,99.5,High,,4.0,75.9
20.1,86.7,Low,Medium,No,4.6,85.4,High,Yes,0.0,68.5
17.3,71.2,Medium,Medium,Yes,8.3,67.3,High,Yes,1.0,57.2
22.2,64.7,Low,Medium,Yes,5.6,85.2,High,Yes,1.0,68.9
15.6,75.7,High,High,No,8.3,73.9,High,Yes,2.0,54.6
22.0,70.6,Low,Medium,No,5.1,90.0,High,No,0.0,64.4
17.9,93.2,Medium,Medium,Yes,6.2,94.8,High,Yes,2.0,67.4
24.3,73.4,Medium,Medium,Yes,6.8,64.5,High,Yes,1.0,59.5
14.6,64.2,High,Medium,No,5.9,65.9,High,Yes,2.0,53.9
17.7,68.1,High,High,Yes,7.3,92.0,High,Yes,2.0,72.0
27.2,67.9,Low,Low,No,7.1,56.6,High,Yes,0.0,56.7
13.7,65.3,Medium,Medium,Yes,6.5,64.5,High,Yes,2.0,48.9
14.8,94.9,Medium,Medium,Yes,5.9,69.5,High,Yes,0.0,50.2
18.8,67.2,Low,Low,No,6.8,59.5,High,No,4.0,57.6
11.6,63.0,Medium,Medium,No,7.9,86.2,High,Yes,1.0,54.1
14.2,70.1,High,High,,7.6,92.5,High,Yes,1.0,62.9
39.7,94.6,Medium,Medium,Yes,8.5,59.7,High,Yes,0.0,69.4
17.0,87.8,Medium,High,Yes,8.9,50.4,High,Yes,0.0,59.4
17.4,69.1,Medium,High,No,5.7,96.4,High,Yes,3.0,76.5
19.1,82.6,High,Medium,No,8.3,61.1,High,Yes,3.0,54.5
22.8,91.6,Medium,Medium,No,5.1,57.8,High,Yes,1.0,62.0
9.0,80.4,Medium,Low,No,6.4,78.3,High,Yes,2.0,53.9
15.2,66.8,Low,Low,Yes,6.4,62.4,High,,2.0,46.0
18.3,84.3,Low,Medium,Yes,9.6,76.2,High,Yes,4.0,67.0
12.5,,Medium,Medium,Yes,6.0,88.1,High,Yes,0.0,61.2
22.9,64.2,Medium,Low,Yes,7.3,51.2,High,Yes,2.0,51.6
15.2,83.9,High,Low,Yes,5.5,96.0,High,Yes,1.0,66.4
18.9,77.9,High,High,Yes,5.9,93.3,High,Yes,1.0,70.5
21.6,69.7,Medium,Low,Yes,7.8,88.4,High,Yes,1.0,65.2
22.2,87.6,High,Medium,Yes,6.9,60.1,High,Yes,4.0,68.9
17.0,94.5,High,High,Yes,6.0,84.6,High,Yes,3.0,80.3
26.0,64.0,High,High,Yes,7.1,75.5,High,Yes,2.0,70.6
32.6,97.1,High,High,No,7.4,61.4,High,Yes,2.0,73.4
13.2,68.0,Medium,Medium,Yes,9.8,50.5,High,Yes,3.0,46.7
